iter	Passed	Remaining
0	7	7854
1	17	8716
2	27	8994
3	35	8935
4	44	8865
5	52	8754
6	62	8836
7	68	8436
8	77	8535
9	85	8435
10	97	8786
11	108	8908
12	117	8917
13	127	8970
14	136	8973
15	145	8947
16	154	8916
17	162	8881
18	170	8816
19	179	8772
20	187	8750
21	196	8739
22	204	8704
23	214	8709
24	223	8733
25	232	8722
26	237	8572
27	244	8497
28	264	8843
29	294	9526
30	313	9794
31	325	9833
32	333	9758
33	346	9849
34	356	9832
35	366	9821
36	375	9783
37	384	9743
38	393	9701
39	402	9661
40	410	9609
41	418	9554
42	427	9506
43	435	9457
44	443	9406
45	449	9318
46	458	9303
47	467	9270
48	475	9231
49	483	9193
50	492	9163
51	501	9139
52	510	9114
53	519	9109
54	529	9096
55	538	9076
56	547	9065
57	556	9043
58	565	9023
59	574	9007
60	583	8988
61	592	8969
62	602	8964
63	612	8957
64	621	8941
65	630	8919
66	639	8908
67	648	8887
68	656	8856
69	664	8827
70	672	8797
71	680	8767
72	688	8739
73	696	8717
74	704	8693
75	713	8668
76	721	8644
77	730	8629
78	738	8612
79	747	8590
80	755	8572
81	765	8572
82	774	8555
83	782	8535
84	791	8519
85	799	8496
86	802	8425
87	811	8405
88	819	8386
89	827	8367
90	835	8349
91	844	8336
92	853	8323
93	861	8306
94	869	8287
95	878	8269
96	886	8251
97	894	8233
98	902	8215
99	912	8211
100	921	8199
101	929	8185
102	933	8132
103	942	8123
104	951	8109
105	960	8097
106	968	8085
107	977	8073
108	986	8060
109	995	8058
110	1005	8051
111	1014	8040
112	1022	8028
113	1031	8014
114	1036	7974
115	1044	7961
116	1053	7950
117	1062	7938
118	1071	7932
119	1081	7927
120	1086	7892
121	1095	7887
122	1104	7877
123	1113	7869
124	1122	7856
125	1131	7850
126	1140	7843
127	1150	7837
128	1159	7827
129	1168	7819
130	1178	7816
131	1187	7809
132	1196	7799
133	1205	7789
134	1213	7774
135	1218	7738
136	1224	7711
137	1232	7697
138	1241	7689
139	1245	7649
140	1253	7639
141	1262	7628
142	1271	7620
143	1280	7613
144	1289	7602
145	1297	7591
146	1306	7579
147	1314	7569
148	1323	7561
149	1332	7548
150	1340	7535
151	1348	7521
152	1356	7509
153	1364	7496
154	1373	7485
155	1382	7478
156	1391	7469
157	1399	7460
158	1408	7449
159	1416	7437
160	1424	7425
161	1432	7412
162	1441	7401
163	1449	7389
164	1458	7379
165	1466	7369
166	1475	7359
167	1483	7348
168	1492	7338
169	1501	7332
170	1511	7327
171	1520	7318
172	1529	7309
173	1537	7300
174	1546	7289
175	1555	7280
176	1564	7273
177	1572	7263
178	1581	7254
179	1590	7244
180	1598	7232
181	1606	7221
182	1615	7212
183	1623	7200
184	1632	7191
185	1640	7181
186	1650	7173
187	1658	7162
188	1666	7151
189	1674	7140
190	1683	7130
191	1692	7122
192	1701	7114
193	1708	7097
194	1716	7086
195	1725	7079
196	1734	7071
197	1744	7066
198	1753	7059
199	1762	7051
200	1771	7042
201	1780	7033
202	1789	7024
203	1797	7015
204	1804	6997
205	1812	6987
206	1821	6977
207	1829	6966
208	1837	6955
209	1846	6946
210	1855	6938
211	1864	6930
212	1873	6921
213	1887	6931
214	1911	6979
215	1960	7115
216	1977	7135
217	1994	7154
218	2008	7161
219	2019	7158
220	2028	7151
221	2038	7142
222	2048	7137
223	2057	7127
224	2066	7117
225	2075	7108
226	2083	7096
227	2092	7085
228	2100	7073
229	2110	7065
230	2120	7058
231	2129	7047
232	2137	7036
233	2145	7024
234	2154	7013
235	2162	7001
236	2169	6983
237	2177	6970
238	2184	6957
239	2193	6944
240	2199	6927
241	2203	6902
242	2212	6892
243	2222	6885
244	2231	6877
245	2241	6870
246	2250	6860
247	2259	6850
248	2267	6839
249	2276	6829
250	2285	6819
251	2293	6808
252	2302	6797
253	2310	6785
254	2319	6775
255	2328	6765
256	2336	6755
257	2345	6746
258	2354	6735
259	2362	6723
260	2370	6712
261	2379	6701
262	2387	6689
263	2395	6677
264	2403	6666
265	2411	6655
266	2420	6645
267	2429	6636
268	2438	6626
269	2447	6616
270	2456	6607
271	2465	6598
272	2474	6588
273	2482	6578
274	2487	6558
275	2496	6547
276	2504	6537
277	2513	6526
278	2517	6506
279	2523	6489
280	2531	6477
281	2539	6466
282	2547	6454
283	2553	6437
284	2558	6418
285	2566	6407
286	2575	6399
287	2585	6390
288	2593	6381
289	2603	6373
290	2612	6364
291	2621	6357
292	2630	6347
293	2639	6338
294	2648	6328
295	2656	6318
296	2664	6307
297	2673	6297
298	2681	6287
299	2690	6277
300	2699	6269
301	2708	6260
302	2717	6251
303	2726	6242
304	2734	6231
305	2739	6213
306	2747	6202
307	2755	6191
308	2763	6180
309	2772	6170
310	2780	6159
311	2789	6151
312	2799	6144
313	2808	6136
314	2818	6128
315	2827	6121
316	2836	6112
317	2845	6102
318	2854	6093
319	2862	6082
320	2868	6067
321	2877	6058
322	2886	6049
323	2894	6039
324	2903	6029
325	2911	6019
326	2920	6011
327	2930	6003
328	2938	5993
329	2947	5984
330	2955	5973
331	2963	5963
332	2973	5955
333	2982	5947
334	2992	5939
335	3001	5932
336	3015	5932
337	3042	5958
338	3064	5976
339	3083	5985
340	3095	5983
341	3109	5983
342	3120	5977
343	3130	5969
344	3138	5959
345	3145	5945
346	3154	5936
347	3163	5926
348	3171	5915
349	3179	5905
350	3188	5896
351	3199	5890
352	3208	5880
353	3217	5871
354	3226	5861
355	3234	5850
356	3242	5839
357	3250	5828
358	3259	5819
359	3268	5810
360	3277	5801
361	3286	5791
362	3294	5781
363	3303	5771
364	3311	5760
365	3319	5750
366	3327	5739
367	3336	5729
368	3345	5720
369	3353	5710
370	3362	5701
371	3371	5692
372	3382	5685
373	3390	5675
374	3399	5665
375	3407	5655
376	3416	5645
377	3424	5634
378	3433	5625
379	3442	5616
380	3450	5606
381	3459	5596
382	3467	5586
383	3475	5575
384	3483	5565
385	3492	5554
386	3500	5544
387	3508	5534
388	3516	5523
389	3525	5514
390	3534	5504
391	3542	5494
392	3551	5484
393	3559	5474
394	3569	5467
395	3579	5460
396	3589	5451
397	3598	5442
398	3607	5433
399	3615	5422
400	3623	5412
401	3631	5401
402	3639	5390
403	3647	5380
404	3655	5370
405	3663	5359
406	3671	5349
407	3679	5339
408	3687	5328
409	3695	5318
410	3705	5309
411	3714	5300
412	3723	5291
413	3735	5287
414	3751	5287
415	3765	5286
416	3777	5281
417	3790	5278
418	3802	5272
419	3812	5264
420	3822	5256
421	3831	5247
422	3840	5238
423	3848	5228
424	3857	5218
425	3865	5208
426	3873	5197
427	3881	5187
428	3889	5176
429	3897	5165
430	3904	5155
431	3912	5144
432	3921	5135
433	3930	5125
434	3938	5115
435	3947	5105
436	3956	5097
437	3968	5091
438	3978	5084
439	3987	5075
440	3997	5067
441	4006	5057
442	4014	5047
443	4023	5038
444	4031	5027
445	4039	5017
446	4047	5007
447	4055	4996
448	4063	4986
449	4071	4976
450	4079	4966
451	4088	4956
452	4096	4946
453	4104	4935
454	4113	4927
455	4122	4918
456	4131	4908
457	4140	4900
458	4149	4890
459	4159	4882
460	4169	4874
461	4178	4865
462	4187	4856
463	4196	4847
464	4205	4838
465	4213	4828
466	4222	4818
467	4230	4808
468	4238	4798
469	4247	4789
470	4256	4780
471	4264	4770
472	4272	4760
473	4280	4750
474	4288	4740
475	4297	4731
476	4306	4721
477	4314	4711
478	4323	4702
479	4331	4692
480	4340	4683
481	4348	4673
482	4357	4664
483	4366	4655
484	4374	4645
485	4382	4635
486	4391	4625
487	4399	4615
488	4407	4605
489	4415	4595
490	4423	4585
491	4431	4575
492	4440	4566
493	4448	4556
494	4457	4547
495	4465	4537
496	4474	4528
497	4483	4519
498	4492	4510
499	4502	4502
500	4511	4493
501	4521	4485
502	4531	4477
503	4542	4470
504	4553	4462
505	4562	4454
506	4571	4445
507	4579	4435
508	4588	4426
509	4596	4416
510	4604	4406
511	4613	4396
512	4621	4387
513	4629	4377
514	4637	4367
515	4645	4357
516	4653	4347
517	4662	4338
518	4670	4328
519	4679	4319
520	4687	4309
521	4696	4300
522	4705	4291
523	4714	4282
524	4723	4273
525	4744	4275
526	4770	4281
527	4790	4282
528	4801	4274
529	4814	4269
530	4826	4262
531	4835	4254
532	4846	4246
533	4855	4236
534	4864	4227
535	4872	4218
536	4881	4208
537	4889	4199
538	4898	4189
539	4906	4179
540	4915	4170
541	4923	4160
542	4931	4150
543	4940	4141
544	4949	4131
545	4957	4122
546	4965	4112
547	4973	4102
548	4981	4092
549	4989	4082
550	4999	4073
551	5008	4065
552	5019	4057
553	5030	4050
554	5040	4041
555	5050	4032
556	5059	4023
557	5068	4015
558	5077	4005
559	5085	3995
560	5093	3985
561	5101	3975
562	5109	3966
563	5119	3957
564	5128	3948
565	5138	3940
566	5148	3931
567	5157	3922
568	5166	3913
569	5175	3904
570	5183	3894
571	5192	3885
572	5200	3875
573	5208	3865
574	5216	3855
575	5225	3846
576	5233	3836
577	5242	3827
578	5250	3817
579	5259	3808
580	5268	3799
581	5276	3789
582	5284	3780
583	5293	3770
584	5301	3760
585	5309	3750
586	5317	3741
587	5325	3731
588	5333	3721
589	5341	3711
590	5350	3702
591	5359	3693
592	5368	3684
593	5376	3675
594	5385	3665
595	5393	3655
596	5401	3646
597	5410	3637
598	5418	3627
599	5426	3617
600	5435	3608
601	5444	3599
602	5454	3591
603	5467	3584
604	5484	3580
605	5498	3575
606	5511	3568
607	5523	3561
608	5533	3552
609	5544	3544
610	5553	3535
611	5562	3526
612	5570	3517
613	5579	3507
614	5587	3497
615	5597	3489
616	5606	3480
617	5615	3470
618	5624	3461
619	5632	3452
620	5641	3442
621	5649	3433
622	5658	3423
623	5667	3414
624	5676	3405
625	5685	3396
626	5693	3387
627	5702	3377
628	5710	3368
629	5718	3358
630	5726	3348
631	5734	3339
632	5743	3329
633	5752	3320
634	5760	3311
635	5769	3301
636	5777	3292
637	5785	3282
638	5794	3273
639	5802	3264
640	5811	3254
641	5820	3245
642	5830	3236
643	5838	3227
644	5847	3218
645	5855	3208
646	5863	3199
647	5872	3189
648	5880	3180
649	5888	3170
