,Address,Price,Space,Rooms,Market,Year,Evelevator,Balcony,Level,Parking place
0,"Warszawa, Białołęka, Żerań, ul. Starowiślna",565000.0,41.34,2,wtórny,2019,tak,"ogródek, taras",parter/6,garaż/miejsce parkingowe
1,"Warszawa, Ursynów, Wyczółki",575000.0,43.52,2,wtórny,2021,tak,balkon,4/4,
2,"Warszawa, Śródmieście, Śródmieście Północne, ul. Pokorna 2",744000.0,37.4,2,wtórny,2011,tak,balkon,2/6,garaż/miejsce parkingowe
3,"Warszawa, Białołęka, ul. Leona Berensona",444845.0,56.8,3,pierwotny,2021,tak,balkon,,garaż/miejsce parkingowe
4,"Warszawa, Praga-Południe, Saska Kępa, ul. Zakopiańska",1700000.0,91.5,4,wtórny,1939,nie,"balkon, ogródek",1/3,
5,"Warszawa, Mokotów, Czerniaków, ul. Zwierzyniecka 17",655000.0,57.0,3,wtórny,1972,tak,balkon,3/10,garaż/miejsce parkingowe
6,"Warszawa, Ursus, ul. Posag 7 Panien",530000.0,51.53,3,wtórny,2023,tak,balkon,2/7,garaż/miejsce parkingowe
7,"Warszawa, Ursus, ul. Posag 7 Panien",560000.0,55.28,3,wtórny,2023,tak,balkon,7/8,garaż/miejsce parkingowe
8,"Warszawa, Białołęka, ul. Leona Berensona",325812.0,37.6,2,pierwotny,2021,tak,balkon,,garaż/miejsce parkingowe
9,"Warszawa, Białołęka, Choszczówka, Polnych Kwiatów",660000.0,69.5,3,wtórny,2022,internet,ogródek,2/2,garaż/miejsce parkingowe
10,"Warszawa, Wola",622000.0,43.0,2,pierwotny,apartamentowiec,"telewizja kablowa, internet, telefon",balkon,5/26,garaż/miejsce parkingowe
11,"Warszawa, Białołęka, ul. Okrągła",,53.94,3,,,,,1/3,garaż/miejsce parkingowe
12,"Warszawa, Wola, Czyste, Józefa Bema",800000.0,53.0,2,wtórny,2022-07-07,plastikowe,,6/9,garaż/miejsce parkingowe
13,"Warszawa, mazowieckie",488000.0,41.0,2,pierwotny,blok,"telewizja kablowa, telefon",balkon,3/3,garaż/miejsce parkingowe
14,"Warszawa, Praga-Południe, Gocław, ul. gen. Tadeusza Bora-Komorowskiego",660000.0,48.27,2,wtórny,2008,tak,balkon,7/16,garaż/miejsce parkingowe
15,"Warszawa, Śródmieście, rynek Starego Miasta",2980000.0,125.59,5,wtórny,kamienica,"telewizja kablowa, internet, telefon",taras,5/5,
16,"Warszawa, Praga-Południe",1041300.0,70.17,3,pierwotny,2024,tak,balkon,parter/5,garaż/miejsce parkingowe
17,"Warszawa, Praga-Południe",661900.0,45.44,2,pierwotny,2024,tak,balkon,1/5,garaż/miejsce parkingowe
18,"Warszawa, mazowieckie",401380.0,42.0,2,pierwotny,blok,telefon,,parter/3,garaż/miejsce parkingowe
19,"Warszawa, mazowieckie",584212.0,44.94,2,pierwotny,2023,tak,balkon,1/3,garaż/miejsce parkingowe
20,"Warszawa, mazowieckie",604800.0,57.6,3,pierwotny,2022,tak,balkon,4/8,garaż/miejsce parkingowe
21,"Warszawa, Żoliborz",770000.0,51.3,2,wtórny,1938,nie,,parter/3,
22,"Warszawa, Śródmieście, Wspólna",1050000.0,73.0,2,wtórny,1902,meble,,4/4,
23,"Warszawa, Wola, ul. Pawia",549000.0,47.5,3,wtórny,blok,"telewizja kablowa, internet, telefon",balkon,1/4,
24,"Warszawa, Białołęka, Nowodwory, Pasłęcka 14",,94.76,4,,,,taras,3/3,garaż/miejsce parkingowe
25,"Warszawa, Białołęka, Nowodwory, Pasłęcka 14",,29.82,1,,,,ogródek,parter/3,garaż/miejsce parkingowe
26,"Warszawa, Białołęka, Nowodwory, Pasłęcka 14",,49.4,2,,,,balkon,1/3,garaż/miejsce parkingowe
27,"Warszawa, Białołęka, Nowodwory, Pasłęcka 14",,63.09,3,,,,balkon,2/3,garaż/miejsce parkingowe
28,"Warszawa, Śródmieście, ul. Krakowskie Przedmieście",1350000.0,52.0,3,wtórny,1947,nie,,1/3,
