,Price,Space,Rooms,Market,Year,elevator,Parking place,balkon,taras,ogródek,district,street,level,max_level
20970,4000000,560,4,wtórny,2015,1,1,1,1,1, Wawer,Patriotów,3,3
7155,4000000,560,4,wtórny,2015,1,1,1,1,1, Wawer,Patriotów,3,3
16202,21350100,487,10,wtórny,2021,1,1,0,0,0, Śródmieście, Elektryczna,6,6
2504,19900000,487,6,wtórny,2001,1,1,0,0,0, Mokotów, Cybulskiego,5,5
9677,795900,445,2,pierwotny,2022,1,1,0,0,0, Praga-Południe, Gocław,4,8
6143,4500000,423,10,wtórny,1936,0,1,0,0,0, Włochy, Nowe Włochy,2,2
13482,6200000,350,6,wtórny,2009,1,1,0,0,0, Mokotów, Sadyba,3,3
19806,15671000,344,6,wtórny,2009,1,1,0,0,0, Śródmieście, Niecała,1,7
23068,6500000,328,5,wtórny,2022,1,1,0,0,0, Śródmieście, Zygmunta Słomińskiego,11,16
10479,4850000,320,5,wtórny,1912,1,0,0,0,0, Śródmieście, Nowogrodzka,6,6
17974,5700000,309,6,wtórny,2012,1,1,0,0,0, Mokotów, Mokotów,8,8
21632,5708000,303,4,pierwotny,2012,1,1,0,0,0, Mokotów,Adama Naruszewicza,8,8
17750,5600000,303,5,pierwotny,2012,1,1,1,1,1, Mokotów,Adama Naruszewicza,8,8
12812,5600000,303,4,pierwotny,2012,1,1,0,0,0, Mokotów, Mokotów,8,8
23247,2820000,281,7,wtórny,1996,1,1,0,0,0, Mokotów, Stegny,5,6
11756,2900000,281,6,wtórny,1992,1,1,0,0,0, Mokotów, Śródziemnomorska,5,6
16200,12984000,279,7,wtórny,2021,1,1,0,0,0, Śródmieście, Elektryczna,6,6
17017,10800000,275,4,wtórny,2016,1,1,0,0,0, Mokotów, Podchorążych,1,7
14163,9800000,274,6,wtórny,2015,1,1,0,0,0, Mokotów, Podchorążych,1,5
23070,10800000,274,5,wtórny,2016,1,1,0,0,0, Mokotów, Mokotów,1,7
13902,10800000,274,6,wtórny,2015,1,1,0,0,0, Mokotów, Podchorążych,1,5
23069,9800000,274,5,wtórny,2016,1,1,0,0,0, Mokotów, Mokotów,1,7
21012,8558550,271,7,pierwotny,2021,1,1,0,0,0, Wola, Krochmalna,8,8
6146,8540910,271,7,wtórny,2020,1,0,0,0,0, Wola, Krochmalna,7,7
22565,4300000,271,5,wtórny,2022,1,1,0,0,0, Żoliborz, Gwiaździsta,8,8
1791,13000000,270,5,wtórny,2010,1,1,0,0,0, Śródmieście, Parkowa,0,5
1778,8900000,258,5,wtórny,2008,1,1,0,0,0, Mokotów, Górny Mokotów,5,5
18481,8382000,254,4,wtórny,1913,1,0,0,0,0, Śródmieście, Stanisława Noakowskiego,8,7
1683,3500000,246,5,wtórny,2003,1,1,0,0,0, Mokotów, Pory,11,13
1682,3500000,246,5,wtórny,2003,1,1,0,0,0, Wilanów, al. Wilanowska,11,13
4492,3200000,240,6,wtórny,2010,1,1,0,0,0, Wilanów, Zaściankowa,3,3
4560,3000000,237,5,wtórny,2013,0,1,0,0,0, Śródmieście,Drewniana,5,5
14162,14000000,237,5,wtórny,2011,1,1,0,0,0, Śródmieście, Drewniana,5,5
4354,7501890,227,4,wtórny,2020,1,1,0,0,0, Śródmieście,Foksal 13,5,5
2685,6450000,225,6,wtórny,2016,1,1,0,0,0, Mokotów, Cichy Potok,2,2
721,1499000,225,7,wtórny,2020,0,1,0,0,0, Wesoła, Stara Miłosna,2,3
1812,8000000,223,4,wtórny,2018,1,1,0,0,0, Mokotów, Fort Piłsudskiego,1,1
12153,3200000,219,6,wtórny,1939,0,0,0,0,0, Bielany, Kleczewska,1,2
6140,5500000,218,4,wtórny,2009,1,0,0,0,0, Wola, Grzybowska,11,22
21331,6831720,218,7,pierwotny,2021,1,1,0,0,0, Wola, Krochmalna,8,8
15521,9750000,212,5,wtórny,2011,1,1,0,0,0, Śródmieście, Drewniana,5,5
15527,9750000,212,5,wtórny,2011,1,1,0,0,0, Śródmieście, Drewniana,5,5
21503,1400000,210,5,wtórny,2021,0,1,1,1,1, Wawer, Przylaszczkowa,1,1
15285,3750000,209,5,pierwotny,2022,1,1,0,0,0, Wilanów, Kosiarzy,0,2
16201,8366100,208,5,wtórny,2021,1,1,0,0,0, Śródmieście, Powiśle,5,6
19604,4390000,207,4,wtórny,2011,1,1,0,0,0, Ochota, Kaliska,5,5
4586,3850000,205,5,wtórny,2022,0,1,0,0,0, Śródmieście, Śródmieście,8,8
15184,1400000,202,6,wtórny,2001,0,1,0,0,0, Wawer, Wawer,1,2
13327,2600000,201,3,wtórny,2022,1,1,1,1,1, Wola, Łucka,11,13
14471,1990000,200,5,wtórny,2017,0,0,0,0,0, Targówek,Krośniewicka,1,1
4096,1990000,200,5,wtórny,2017,0,0,0,0,0, Targówek,Krośniewicka,1,1
17980,1990000,200,5,wtórny,2017,0,0,0,0,0, Targówek,Krośniewicka,1,1
10999,1990000,200,5,wtórny,2017,0,0,0,0,0, Targówek,Krośniewicka,1,1
