Address,Price,Space,Rooms,Market,Year,Evelevator,Balcony,Level,Parking place
"Warszawa, Praga-Południe",629000,57.7,3,wtórny,1958,"teren zamknięty, domofon / wideofon",balkon,3/3,garaż/miejsce parkingowe
"Warszawa, Ochota, ul. Włodarzewska",680000,44.22,2,wtórny,2007,tak,"balkon, taras",1/8,
"Warszawa, Ursus, ul. Herbu Oksza",740000,62.42,3,wtórny,2021,tak,balkon,4/6,garaż/miejsce parkingowe
"Warszawa, Ochota, Stara Ochota",818000,55.5,2,wtórny,1958,piwnica,balkon,3/4,
"Warszawa, Wola, Odolany, Symboliczna",1440000,65.2,3,wtórny,2014,"teren zamknięty, domofon / wideofon, monitoring / ochrona",,3/8,
"Warszawa, Bemowo, ul. Rozłogi",,38.48,2,,,,"taras, ogródek",parter/6,garaż/miejsce parkingowe
"Warszawa, Białołęka, ul. Leona Berensona",599000,61.54,3,wtórny,2010,tak,taras,3/4,garaż/miejsce parkingowe
"Warszawa, Targówek, Bródno-Podgrodzie ul. Krasnobrodzka",520000,46.4,2,wtórny,blok,domofon / wideofon,balkon,1/10,
"Warszawa, Wola, Muranów",690000,47.69,3,wtórny,1961,tak,,8/9,
"Warszawa, Bemowo, ul. Juliusza Kaden-Bandrowskiego",649000,63.53,3,wtórny,1985,tak,balkon,2/6,
"ul. Dionizosa, Warszawa, mazowieckie",,69.1,4,,,,balkon,6/8,garaż/miejsce parkingowe
"Warszawa, Bielany, Stare Bielany, ul. Starej Baśni",888000,64.5,4,wtórny,1971,nie,balkon,4/4,
"Warszawa, Białołęka, Tarchomin, Modlińska",505000,45.25,3,wtórny,2017,tak,balkon,3/4,garaż/miejsce parkingowe
"Warszawa, Wesoła, ul. Stefana Żeromskiego",,50.32,2,,,,,1/5,garaż/miejsce parkingowe
"Warszawa, Włochy, ul. Wyrzyska",885000,63,3,wtórny,2006,tak,"balkon, ogródek, taras",parter/4,
"ul. Dionizosa, Warszawa, mazowieckie",,66.9,4,,,,balkon,2/8,garaż/miejsce parkingowe
"ul. Dionizosa, Warszawa, mazowieckie",,32.01,2,,,,balkon,4/8,garaż/miejsce parkingowe
"Warszawa, Mokotów, Domaniewska 47",,41.59,2,,,,,8/8,garaż/miejsce parkingowe
"Warszawa, Białołęka, Żerań, ul. Anastazego Kowalczyka 7",599000,47,2,wtórny,2017,tak,"balkon, taras",1/7,garaż/miejsce parkingowe
"ul. Dionizosa, Warszawa, mazowieckie",,32,2,,,,balkon,1/8,garaż/miejsce parkingowe
"ul. Dionizosa, Warszawa, mazowieckie",,87.3,5,,,,taras,8/8,garaż/miejsce parkingowe
"Warszawa, Bemowo",540000,43.19,1,wtórny,2004,"telewizja kablowa, internet, telefon",balkon,4/5,
"Warszawa, Żoliborz",960000,67,3,wtórny,1990,tak,balkon,&gt; 10/12,garaż/miejsce parkingowe
"Warszawa, Praga-Południe, Osowska",405000,37,1,wtórny,1997,monitoring / ochrona,balkon,2/4,
"Warszawa, Praga-Południe",269000,17.5,1,wtórny,1975,tak,,8/11,
"Warszawa, Targówek",560000,45.36,2,wtórny,1970,nie,,1/4,
"Warszawa, Włochy, al. Aleje Jerozolimskie",,35.95,2,,,,,2/3,garaż/miejsce parkingowe
"ul. Dionizosa, Warszawa, mazowieckie",,25.4,1,,,,balkon,8/8,garaż/miejsce parkingowe
"Warszawa, Bemowo, Andrzeja Sołtana",560000,51,2,wtórny,blok,internet,balkon,9/10,
"Warszawa, Wola, Ulrychów, Człuchowska",760000,50.61,2,wtórny,2022-06-10,tak,"balkon, ogródek, taras",parter/5,
"Warszawa, Białołęka, ul. Bobrowa",262752,25.76,1,,,,balkon,1/3,garaż/miejsce parkingowe
"Warszawa, Białołęka, ul. Krokwi",545000,42.8,2,wtórny,nie,,,parter/3,
"Warszawa, Ursynów, ul. Batystowa",1639100,95.91,4,,,,balkon,2/4,
"Warszawa, Wawer, ul. Przygodna",,75.59,4,,,,balkon,2/2,
"Warszawa, Targówek, ul. Władysława Syrokomli",355000,31,1,wtórny,blok,"telewizja kablowa, internet, telefon",balkon,10/10,
"Warszawa, Ursynów, ul. Batystowa",2420100,129.82,5,,,,balkon,1/4,
"Warszawa, Mokotów, Służew, Wolfganga Amadeusza Mozarta",770000,57.9,3,wtórny,2022-12-30,nie,,1/11,
"Warszawa, Ochota, Księcia Trojdena",694555,46.5,3,wtórny,1965,meble,,1/4,
"Warszawa, Bemowo, ul. Babimojska",,35.39,2,,,,balkon,1/5,garaż/miejsce parkingowe
"Warszawa, Wola, ul. Jana Kazimierza",699000,44.25,2,wtórny,2015,"telewizja kablowa, internet",balkon,2,
"Warszawa, Mokotów, Górny Mokotów, Wołoska 54",777000,50.29,2,wtórny,1956,nie,balkon,4/4,
"Warszawa, Ursus, ul. Przy Forcie",499000,35.11,2,pierwotny,2022,tak,balkon,2/7,garaż/miejsce parkingowe
"Warszawa, Ochota, Stara Ochota",818000,55.5,2,wtórny,1958,piwnica,balkon,3/4,
"Warszawa, Wola, Odolany, Symboliczna",1440000,65.2,3,wtórny,2014,"teren zamknięty, domofon / wideofon, monitoring / ochrona",,3/8,
"Warszawa, Bemowo, ul. Rozłogi",,38.48,2,,,,"taras, ogródek",parter/6,garaż/miejsce parkingowe
"Warszawa, Białołęka, ul. Leona Berensona",599000,61.54,3,wtórny,2010,tak,taras,3/4,garaż/miejsce parkingowe
"Warszawa, Targówek, Bródno-Podgrodzie ul. Krasnobrodzka",520000,46.4,2,wtórny,blok,domofon / wideofon,balkon,1/10,
"Warszawa, Wola, Muranów",690000,47.69,3,wtórny,1961,tak,,8/9,
"Warszawa, Bemowo, ul. Juliusza Kaden-Bandrowskiego",649000,63.53,3,wtórny,1985,tak,balkon,2/6,
"ul. Dionizosa, Warszawa, mazowieckie",,69.1,4,,,,balkon,6/8,garaż/miejsce parkingowe
"Warszawa, Bielany, Stare Bielany, ul. Starej Baśni",888000,64.5,4,wtórny,1971,nie,balkon,4/4,
"Warszawa, Białołęka, Tarchomin, Modlińska",505000,45.25,3,wtórny,2017,tak,balkon,3/4,garaż/miejsce parkingowe
"Warszawa, Wesoła, ul. Stefana Żeromskiego",,50.32,2,,,,,1/5,garaż/miejsce parkingowe
"Warszawa, Włochy, ul. Wyrzyska",885000,63,3,wtórny,2006,tak,"balkon, ogródek, taras",parter/4,
"ul. Dionizosa, Warszawa, mazowieckie",,66.9,4,,,,balkon,2/8,garaż/miejsce parkingowe
"ul. Dionizosa, Warszawa, mazowieckie",,32.01,2,,,,balkon,4/8,garaż/miejsce parkingowe
"Warszawa, Mokotów, Domaniewska 47",,41.59,2,,,,,8/8,garaż/miejsce parkingowe
"Warszawa, Białołęka, Żerań, ul. Anastazego Kowalczyka 7",599000,47,2,wtórny,2017,tak,"balkon, taras",1/7,garaż/miejsce parkingowe
"ul. Dionizosa, Warszawa, mazowieckie",,32,2,,,,balkon,1/8,garaż/miejsce parkingowe
"ul. Dionizosa, Warszawa, mazowieckie",,87.3,5,,,,taras,8/8,garaż/miejsce parkingowe
"Warszawa, Bemowo",540000,43.19,1,wtórny,2004,"telewizja kablowa, internet, telefon",balkon,4/5,
"Warszawa, Żoliborz",960000,67,3,wtórny,1990,tak,balkon,&gt; 10/12,garaż/miejsce parkingowe
"Warszawa, Praga-Południe, Osowska",405000,37,1,wtórny,1997,monitoring / ochrona,balkon,2/4,
"Warszawa, Praga-Południe",269000,17.5,1,wtórny,1975,tak,,8/11,
"Warszawa, Targówek",560000,45.36,2,wtórny,1970,nie,,1/4,
"Warszawa, Włochy, al. Aleje Jerozolimskie",,35.95,2,,,,,2/3,garaż/miejsce parkingowe
"ul. Dionizosa, Warszawa, mazowieckie",,25.4,1,,,,balkon,8/8,garaż/miejsce parkingowe
"Warszawa, Bemowo, Andrzeja Sołtana",560000,51,2,wtórny,blok,internet,balkon,9/10,
"Warszawa, Wola, Ulrychów, Człuchowska",760000,50.61,2,wtórny,2022-06-10,tak,"balkon, ogródek, taras",parter/5,
"Warszawa, Białołęka, ul. Bobrowa",262752,25.76,1,,,,balkon,1/3,garaż/miejsce parkingowe
"Warszawa, Białołęka, ul. Krokwi",545000,42.8,2,wtórny,nie,,,parter/3,
"Warszawa, Ursynów, ul. Batystowa",1639100,95.91,4,,,,balkon,2/4,
"Warszawa, Wawer, ul. Przygodna",,75.59,4,,,,balkon,2/2,
"Warszawa, Targówek, ul. Władysława Syrokomli",355000,31,1,wtórny,blok,"telewizja kablowa, internet, telefon",balkon,10/10,
"Warszawa, Ursynów, ul. Batystowa",2420100,129.82,5,,,,balkon,1/4,
"Warszawa, Mokotów, Służew, Wolfganga Amadeusza Mozarta",770000,57.9,3,wtórny,2022-12-30,nie,,1/11,
"Warszawa, Ochota, Księcia Trojdena",694555,46.5,3,wtórny,1965,meble,,1/4,
"Warszawa, Bemowo, ul. Babimojska",,35.39,2,,,,balkon,1/5,garaż/miejsce parkingowe
"Warszawa, Praga-Południe",949000,59.59,3,wtórny,2021,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",balkon,3,garaż/miejsce parkingowe
"Warszawa, Bemowo, ul. Batalionów Chłopskich",620000,44.06,2,wtórny,2016,tak,balkon,1/4,garaż/miejsce parkingowe
"Warszawa, Mokotów, ul. Czerniakowska 34",468000,37.5,2,wtórny,2022-06-21,plastikowe,balkon,7/10,
"Warszawa, Targówek, Malborska",1040000,95.5,2,wtórny,2022-05-30,plastikowe,balkon,9/9,garaż/miejsce parkingowe
"Warszawa, Ursynów, ul. Batystowa",1292700,62.77,3,,,,balkon,4/4,
"Warszawa, Praga-Południe",529000,45,2,wtórny,1975,tak,balkon,&gt; 10/11,
"Warszawa, Mokotów, Franciszka Hynka",414000,37,1,wtórny,1975,nie,balkon,1/3,
"Warszawa, Bemowo, ul. Rozłogi",,90,4,,,,balkon,2/5,garaż/miejsce parkingowe
"Warszawa, Ursynów, ul. Batystowa",2144700,123.05,5,,,,balkon,1/4,
"ul. Wybrzeże Puckie, Warszawa, mazowieckie",,70.91,3,,,,"taras, ogródek",parter/6,garaż/miejsce parkingowe
"ul. Wybrzeże Puckie, Warszawa, mazowieckie",,86.63,4,,,,taras,6/7,garaż/miejsce parkingowe
"ul. Wybrzeże Puckie, Warszawa, mazowieckie",,25.61,1,,,,balkon,2/7,garaż/miejsce parkingowe
"ul. Wybrzeże Puckie, Warszawa, mazowieckie",,34.58,2,,,,balkon,4/7,garaż/miejsce parkingowe
"Warszawa, Białołęka, Ostródzka 118",,38.92,2,,,,ogródek,parter/2,garaż/miejsce parkingowe
"Warszawa, Włochy, Stare Włochy, ul. Płużańska",729000,57,3,wtórny,2006,nie,"balkon, ogródek",1/2,garaż/miejsce parkingowe
"Warszawa, Ursynów, ul. Batystowa",1047700,46.23,2,,,,balkon,4/4,
"Warszawa, Białołęka, Mariana Wyrzykowskiego",715000,64.2,3,wtórny,2015,monitoring / ochrona,balkon,6/7,garaż/miejsce parkingowe
"Warszawa, Bemowo, Jelonki, Lazurowa",579900,51,2,wtórny,1978,meble,,9/11,
"Warszawa, Białołęka, ul. Bobrowa",257600,25.76,1,,,,ogródek,parter/3,garaż/miejsce parkingowe
"Warszawa, Wola, Muranów",1326000,68,3,wtórny,1998,nie,balkon,3/8,
"Warszawa, Białołęka, Myśliborska 70B",589000,56.52,3,pierwotny,2021,tak,balkon,1/4,garaż/miejsce parkingowe
"Warszawa, Śródmieście, św. Franciszka Salezego",440000,25.34,1,wtórny,1938,nie,balkon,3/3,
"Warszawa, Praga-Południe",433000,30,1,pierwotny,2022,tak,balkon,5/8,
"Warszawa, Mokotów",2711000,160,4,wtórny,2022,"telewizja kablowa, internet",taras,1/2,garaż/miejsce parkingowe
"Warszawa, Mokotów",2760000,160,4,wtórny,drewniane,"system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",taras,1/2,garaż/miejsce parkingowe
"Warszawa, Białołęka",700000,76,3,pierwotny,2024,"telewizja kablowa, internet",taras,1/3,garaż/miejsce parkingowe
"Warszawa, Białołęka",827000,72,4,pierwotny,2024,"telewizja kablowa, internet",taras,2/3,garaż/miejsce parkingowe
"Warszawa, Białołęka",1076000,90,4,pierwotny,2024,"system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","ogródek, taras",parter/3,garaż/miejsce parkingowe
"Warszawa, Białołęka",619000,64,3,pierwotny,2022,"system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",balkon,1/6,garaż/miejsce parkingowe
"Warszawa, Białołęka",855000,90,4,pierwotny,2024,tak,taras,1/3,garaż/miejsce parkingowe
"Warszawa, Praga-Południe",1308000,94,4,pierwotny,2023,tak,taras,6/6,garaż/miejsce parkingowe
