Address,Price,Space,Rooms,Market,Year,Evelevator,Balcony,Level,Parking place
"Warszawa, Białołęka, Geodezyjna",1390000,108,4,wtórny,2011,tak,"ogródek, taras",parter/3,garaż/miejsce parkingowe
"Warszawa, Wola, Mirów, ul. Waliców 20",639000,47.7,3,wtórny,1975,tak,,3/10,
"Warszawa, Wola, Młynów, ul. Jana Ostroroga 21",520000,28.98,1,wtórny,2020,tak,balkon,4/6,garaż/miejsce parkingowe
"Warszawa, Wola",640000,36,2,wtórny,2014,,balkon,1/7,garaż/miejsce parkingowe
"Warszawa, Wola",640000,39,2,,,,,,
"Warszawa, Bielany",849999,74,5,wtórny,2000,tak,balkon,4/4,garaż/miejsce parkingowe
"Warszawa, Śródmieście, Aleja Jana Pawła II",670000,28,1,wtórny,2022-03-10,plastikowe,,5/9,
"Warszawa, Wawer, Marysin Wawerski",590000,47.27,2,wtórny,2016,internet,balkon,5/6,
"Warszawa, Praga-Południe, Awionetki RWD",580000,42,2,wtórny,2022-05-20,plastikowe,,1/9,
"Warszawa, Praga-Południe, Kamionek, Mińska",514999,37.8,2,pierwotny,2023,"telewizja kablowa, internet, telefon",balkon,1/3,garaż/miejsce parkingowe
"Warszawa, Wola, Czyste, Marcina Kasprzaka",1579000,94,4,pierwotny,2022,tak,"balkon, ogródek, taras",&gt; 10/26,garaż/miejsce parkingowe
"Warszawa, Praga-Południe, Kamionek, Mińska",755780,70,3,pierwotny,2023,"telewizja kablowa, internet, telefon",balkon,1/5,garaż/miejsce parkingowe
"Warszawa, Praga-Południe, Kamionek, Mińska",455800,33.2,1,pierwotny,2023,"telewizja kablowa, internet, telefon",balkon,1/5,garaż/miejsce parkingowe
"Warszawa, Wola, Czyste, Marcina Kasprzaka",1525000,86,4,pierwotny,2022,tak,"balkon, ogródek, taras",&gt; 10/12,garaż/miejsce parkingowe
"Warszawa, Wola, Czyste, Marcina Kasprzaka",949000,53.5,3,pierwotny,2022,tak,"balkon, ogródek, taras",7/20,garaż/miejsce parkingowe
"Warszawa, Wola, Czyste, Marcina Kasprzaka",819000,42,2,pierwotny,2022,tak,"balkon, ogródek, taras",&gt; 10/26,garaż/miejsce parkingowe
"Warszawa, Wola, Czyste, Marcina Kasprzaka",669000,38,2,pierwotny,2022,tak,"balkon, ogródek, taras",&gt; 10/12,garaż/miejsce parkingowe
"Warszawa, Ursus",666000,64,3,pierwotny,2022-10-20,tak,balkon,5/6,garaż/miejsce parkingowe
"Warszawa, Ursus",579000,55.6,2,pierwotny,2022-10-20,tak,balkon,3/6,garaż/miejsce parkingowe
"Warszawa, Ursus",539000,50,2,pierwotny,2022-10-20,tak,balkon,5/6,garaż/miejsce parkingowe
"Warszawa, Wola, Marcina Kasprzaka",878000,62.09,3,wtórny,2021,"piwnica, pom. użytkowe",balkon,7/10,garaż/miejsce parkingowe
"Warszawa, Wola, ul. Smocza",414000,26.4,1,wtórny,1972,nie,,4/9,
"Warszawa, mazowieckie",664800,49,3,wtórny,blok,internet,balkon,8/9,
"Warszawa, Białołęka, Skarbka z Gór",485000,66.7,4,wtórny,2006,monitoring / ochrona,,3/3,
"Warszawa, Mokotów, Górny Mokotów, Racławicka",449000,26.72,1,wtórny,1953,cegła,,3/3,
"Warszawa, Praga-Południe, Witolin, Komorska",630000,51.4,2,wtórny,1998,tak,"balkon, ogródek",parter/4,
"Warszawa, Praga-Południe, Grochowska",360000,29.31,1,wtórny,1938,,,parter/4,
"Warszawa, Bielany, Wrzeciono, Przy Agorze",495000,45,2,wtórny,2022-06-11,tak,,2/10,
"Warszawa, Ursynów, Zygmunta Pawlaczyka",740000,73,4,wtórny,1990,nie,balkon,parter/4,garaż/miejsce parkingowe
"Warszawa, Wilanów, Prymasa Augusta Hlonda",1455000,100,4,wtórny,2012,tak,balkon,3/4,garaż/miejsce parkingowe
"Warszawa, Śródmieście",495000,24.5,1,wtórny,tak,,,1/10,
