Address,Price,Space,Rooms
"<span class=""css-17o293g es62z2j9"">Warszawa, Praga-Południe, Szaserów 48</span>",541000,34,1
"<span class=""css-17o293g es62z2j9"">Warszawa, Ursus, ul. Konotopska</span>",675000,54,3
"<span class=""css-17o293g es62z2j9"">Warszawa, Mokotów, ul. Augustówka</span>",545000,37.4,2
"<span class=""css-17o293g es62z2j9"">Warszawa, Ursynów</span>",999000,101.3,3
"<span class=""css-17o293g es62z2j9"">Warszawa, Mokotów</span>",2225300,117.79,5
"<span class=""css-17o293g es62z2j9"">Warszawa, Bielany, Stare Bielany, Jana Kasprowicza</span>",818080,51.13,3
"<span class=""css-17o293g es62z2j9"">Warszawa, Praga-Północ, ul. Grodzieńska</span>",399999,26.91,1
"<span class=""css-17o293g es62z2j9"">Warszawa, Ursynów, Gawota</span>",1560000,146.14,5
"<span class=""css-17o293g es62z2j9"">Warszawa, Ochota, Rakowiec, ul. Jasielska</span>",375000,26.5,1
"<span class=""css-17o293g es62z2j9"">Warszawa, Bemowo</span>",444000,33.5,2
"<span class=""css-17o293g es62z2j9"">Warszawa, Mokotów, Służewiec</span>",474700,39.07,2
"<span class=""css-17o293g es62z2j9"">Warszawa, Ursynów, ul. Batystowa</span>",,59.79,3
"<span class=""css-17o293g es62z2j9"">Warszawa, Praga-Południe</span>",893730,57.66,3
"<span class=""css-17o293g es62z2j9"">Warszawa, Targówek, Bródno</span>",935000,69,3
"<span class=""css-17o293g es62z2j9"">Warszawa, Śródmieście, Śródmieście Południowe, Piękna</span>",1499000,59.47,2
"<span class=""css-17o293g es62z2j9"">Warszawa, Ursynów, ul. Batystowa</span>",,129.82,5
"<span class=""css-17o293g es62z2j9"">Warszawa, Ursus, ul. Skoroszewska</span>",577100,58.33,3
"<span class=""css-17o293g es62z2j9"">Warszawa, Mokotów, Aleja Wilanowska</span>",685000,57.5,3
"<span class=""css-17o293g es62z2j9"">Warszawa, Wilanów, Herbu Janina</span>",1590000,89,4
"<span class=""css-17o293g es62z2j9"">Warszawa, Ursus, ul. Dzieci Warszawy</span>",830000,86.2,3
"<span class=""css-17o293g es62z2j9"">Warszawa, Targówek, Zacisze, ul. Lewinowska</span>",439000,42.2,2
"<span class=""css-17o293g es62z2j9"">Warszawa, Śródmieście, al. Aleja Niepodległości</span>",339000,29,2
"<span class=""css-17o293g es62z2j9"">Warszawa, Śródmieście, ul. Wspólna</span>",1189000,69,3
"<span class=""css-17o293g es62z2j9"">Warszawa, Mokotów, ul. Wiktorska</span>",740000,49.62,2
"<span class=""css-17o293g es62z2j9"">Warszawa, Ochota</span>",480000,38.3,2
"<span class=""css-17o293g es62z2j9"">Warszawa, Wola</span>",599999,46.78,3
"<span class=""css-17o293g es62z2j9"">Warszawa, Praga-Północ, ul. Tadeusza Korsaka</span>",599999,47,2
"<span class=""css-17o293g es62z2j9"">Warszawa, Białołęka, ul. Duninów</span>",,83.81,4
"<span class=""css-17o293g es62z2j9"">Warszawa, Mokotów, ul. Wołoska</span>",640000,48.7,2
"<span class=""css-17o293g es62z2j9"">Warszawa, Wola, ul. Sławińska</span>",762000,42.65,2
"<span class=""css-17o293g es62z2j9"">Warszawa, Wola, ul. Sławińska</span>",550000,29.79,1
"<span class=""css-17o293g es62z2j9"">Warszawa, Wola, ul. Sławińska</span>",2469000,112.91,5
"<span class=""css-17o293g es62z2j9"">Warszawa, Wola, ul. Sławińska</span>",1306000,66.99,3
"<span class=""css-17o293g es62z2j9"">Warszawa, Wola, ul. Sławińska</span>",1459000,83.45,4
"<span class=""css-17o293g es62z2j9"">Warszawa, Ochota, Rakowiec</span>",390000,18.3,1
"<span class=""css-17o293g es62z2j9"">Warszawa, Białołęka, ul. Duninów</span>",,44.39,2
"<span class=""css-17o293g es62z2j9"">Warszawa, Białołęka, ul. Duninów</span>",,50.38,3
"<span class=""css-17o293g es62z2j9"">Warszawa, Mokotów, Giordana Bruna</span>",628000,37.5,1
"<span class=""css-17o293g es62z2j9"">Warszawa, Bemowo, ul. Wieśniacza</span>",,58.34,3
